StockBroker using Async, Task, Await...
Broker          Stock           Value           Changes   Date and Time
Broker 2        Commodity       557             4         9/21/2023 11:16:58 PM
Broker 4        Commodity       557             4         9/21/2023 11:16:58 PM
Broker 2        Commodity       564             5         9/21/2023 11:16:58 PM
Broker 4        Commodity       564             5         9/21/2023 11:16:58 PM
Broker 2        Commodity       581             6         9/21/2023 11:16:59 PM
Broker 4        Commodity       581             6         9/21/2023 11:16:59 PM
Broker 1        Technology      179             6         9/21/2023 11:16:59 PM
Broker 2        Technology      179             6         9/21/2023 11:16:59 PM
Broker 3        Technology      179             6         9/21/2023 11:16:59 PM
Broker 4        Technology      179             6         9/21/2023 11:16:59 PM
Broker 2        Banking         101             6         9/21/2023 11:16:59 PM
Broker 3        Banking         101             6         9/21/2023 11:16:59 PM
Broker 4        Banking         101             6         9/21/2023 11:16:59 PM
Broker 1        Retail          37              7         9/21/2023 11:16:59 PM
Broker 4        Retail          37              7         9/21/2023 11:16:59 PM
Broker 2        Commodity       596             7         9/21/2023 11:16:59 PM
Broker 4        Commodity       596             7         9/21/2023 11:16:59 PM
Broker 1        Technology      181             7         9/21/2023 11:16:59 PM
Broker 2        Technology      181             7         9/21/2023 11:16:59 PM
Broker 3        Technology      181             7         9/21/2023 11:16:59 PM
Broker 4        Technology      181             7         9/21/2023 11:16:59 PM
Broker 2        Banking         104             7         9/21/2023 11:16:59 PM
Broker 3        Banking         104             7         9/21/2023 11:16:59 PM
Broker 4        Banking         104             7         9/21/2023 11:16:59 PM
Broker 1        Retail          38              8         9/21/2023 11:17:00 PM
Broker 4        Retail          38              8         9/21/2023 11:17:00 PM
Broker 2        Commodity       603             8         9/21/2023 11:17:00 PM
Broker 4        Commodity       603             8         9/21/2023 11:17:00 PM
Broker 1        Technology      184             8         9/21/2023 11:17:00 PM
Broker 2        Technology      184             8         9/21/2023 11:17:00 PM
Broker 3        Technology      184             8         9/21/2023 11:17:00 PM
Broker 4        Technology      184             8         9/21/2023 11:17:00 PM
Broker 2        Banking         107             8         9/21/2023 11:17:00 PM
Broker 3        Banking         107             8         9/21/2023 11:17:00 PM
Broker 4        Banking         107             8         9/21/2023 11:17:00 PM
Broker 1        Retail          39              9         9/21/2023 11:17:00 PM
Broker 4        Retail          39              9         9/21/2023 11:17:00 PM
Broker 2        Commodity       611             9         9/21/2023 11:17:00 PM
Broker 4        Commodity       611             9         9/21/2023 11:17:00 PM
Broker 1        Technology      188             9         9/21/2023 11:17:00 PM
Broker 2        Technology      188             9         9/21/2023 11:17:00 PM
Broker 3        Technology      188             9         9/21/2023 11:17:00 PM
Broker 4        Technology      188             9         9/21/2023 11:17:00 PM
Broker 2        Banking         108             9         9/21/2023 11:17:00 PM
Broker 3        Banking         108             9         9/21/2023 11:17:00 PM
Broker 4        Banking         108             9         9/21/2023 11:17:00 PM
Broker 1        Retail          40              10        9/21/2023 11:17:01 PM
Broker 4        Retail          40              10        9/21/2023 11:17:01 PM
Broker 2        Commodity       622             10        9/21/2023 11:17:01 PM
Broker 4        Commodity       622             10        9/21/2023 11:17:01 PM
Broker 1        Technology      190             10        9/21/2023 11:17:01 PM
Broker 2        Technology      190             10        9/21/2023 11:17:01 PM
Broker 3        Technology      190             10        9/21/2023 11:17:01 PM
Broker 4        Technology      190             10        9/21/2023 11:17:01 PM
Broker 2        Banking         109             10        9/21/2023 11:17:01 PM
Broker 3        Banking         109             10        9/21/2023 11:17:01 PM
Broker 4        Banking         109             10        9/21/2023 11:17:01 PM
Broker 1        Retail          41              11        9/21/2023 11:17:01 PM
Broker 4        Retail          41              11        9/21/2023 11:17:01 PM
Broker 2        Commodity       626             11        9/21/2023 11:17:01 PM
Broker 4        Commodity       626             11        9/21/2023 11:17:01 PM
Broker 1        Technology      191             11        9/21/2023 11:17:01 PM
Broker 2        Technology      191             11        9/21/2023 11:17:01 PM
Broker 3        Technology      191             11        9/21/2023 11:17:01 PM
Broker 4        Technology      191             11        9/21/2023 11:17:01 PM
Broker 2        Banking         110             11        9/21/2023 11:17:01 PM
Broker 3        Banking         110             11        9/21/2023 11:17:01 PM
Broker 4        Banking         110             11        9/21/2023 11:17:01 PM
Broker 1        Retail          42              12        9/21/2023 11:17:02 PM
Broker 4        Retail          42              12        9/21/2023 11:17:02 PM
Broker 2        Commodity       641             12        9/21/2023 11:17:02 PM
Broker 4        Commodity       641             12        9/21/2023 11:17:02 PM
Broker 1        Technology      193             12        9/21/2023 11:17:02 PM
Broker 2        Technology      193             12        9/21/2023 11:17:02 PM
Broker 3        Technology      193             12        9/21/2023 11:17:02 PM
Broker 4        Technology      193             12        9/21/2023 11:17:02 PM
Broker 2        Banking         113             12        9/21/2023 11:17:02 PM
Broker 3        Banking         113             12        9/21/2023 11:17:02 PM
Broker 4        Banking         113             12        9/21/2023 11:17:02 PM
Broker 1        Retail          43              13        9/21/2023 11:17:02 PM
Broker 4        Retail          43              13        9/21/2023 11:17:02 PM
Broker 2        Commodity       656             13        9/21/2023 11:17:02 PM
Broker 4        Commodity       656             13        9/21/2023 11:17:02 PM
Broker 1        Technology      194             13        9/21/2023 11:17:02 PM
Broker 2        Technology      194             13        9/21/2023 11:17:02 PM
Broker 3        Technology      194             13        9/21/2023 11:17:02 PM
Broker 4        Technology      194             13        9/21/2023 11:17:02 PM
Broker 2        Banking         115             13        9/21/2023 11:17:02 PM
Broker 3        Banking         115             13        9/21/2023 11:17:02 PM
Broker 4        Banking         115             13        9/21/2023 11:17:02 PM
Broker 1        Retail          44              14        9/21/2023 11:17:03 PM
Broker 4        Retail          44              14        9/21/2023 11:17:03 PM
Broker 2        Commodity       672             14        9/21/2023 11:17:03 PM
Broker 4        Commodity       672             14        9/21/2023 11:17:03 PM
Broker 1        Technology      198             14        9/21/2023 11:17:03 PM
Broker 2        Technology      198             14        9/21/2023 11:17:03 PM
Broker 3        Technology      198             14        9/21/2023 11:17:03 PM
Broker 4        Technology      198             14        9/21/2023 11:17:03 PM
Broker 2        Banking         116             14        9/21/2023 11:17:03 PM
Broker 3        Banking         116             14        9/21/2023 11:17:03 PM
Broker 4        Banking         116             14        9/21/2023 11:17:03 PM
Broker 1        Retail          45              15        9/21/2023 11:17:03 PM
Broker 4        Retail          45              15        9/21/2023 11:17:03 PM
Broker 2        Commodity       684             15        9/21/2023 11:17:03 PM
Broker 4        Commodity       684             15        9/21/2023 11:17:03 PM
Broker 1        Technology      202             15        9/21/2023 11:17:03 PM
Broker 2        Technology      202             15        9/21/2023 11:17:03 PM
Broker 3        Technology      202             15        9/21/2023 11:17:03 PM
Broker 4        Technology      202             15        9/21/2023 11:17:03 PM
Broker 2        Banking         117             15        9/21/2023 11:17:03 PM
Broker 3        Banking         117             15        9/21/2023 11:17:03 PM
Broker 4        Banking         117             15        9/21/2023 11:17:03 PM
Broker 1        Retail          46              16        9/21/2023 11:17:04 PM
Broker 4        Retail          46              16        9/21/2023 11:17:04 PM
Broker 2        Commodity       697             16        9/21/2023 11:17:04 PM
Broker 4        Commodity       697             16        9/21/2023 11:17:04 PM
Broker 1        Technology      204             16        9/21/2023 11:17:04 PM
Broker 2        Technology      204             16        9/21/2023 11:17:04 PM
Broker 3        Technology      204             16        9/21/2023 11:17:04 PM
Broker 4        Technology      204             16        9/21/2023 11:17:04 PM
