StockBroker using Threading...
Broker          Stock           Value           Changes   Date and Time
Broker 2        Commodity       551             5         9/21/2023 11:13:01 PM
Broker 4        Commodity       551             5         9/21/2023 11:13:01 PM
Broker 2        Commodity       560             6         9/21/2023 11:13:02 PM
Broker 4        Commodity       560             6         9/21/2023 11:13:02 PM
Broker 2        Banking         103             6         9/21/2023 11:13:02 PM
Broker 3        Banking         103             6         9/21/2023 11:13:02 PM
Broker 4        Banking         103             6         9/21/2023 11:13:02 PM
Broker 1        Retail          37              7         9/21/2023 11:13:02 PM
Broker 4        Retail          37              7         9/21/2023 11:13:02 PM
Broker 1        Technology      179             7         9/21/2023 11:13:02 PM
Broker 2        Technology      179             7         9/21/2023 11:13:02 PM
Broker 3        Technology      179             7         9/21/2023 11:13:02 PM
Broker 4        Technology      179             7         9/21/2023 11:13:02 PM
Broker 2        Banking         105             7         9/21/2023 11:13:02 PM
Broker 3        Banking         105             7         9/21/2023 11:13:02 PM
Broker 4        Banking         105             7         9/21/2023 11:13:02 PM
Broker 2        Commodity       569             7         9/21/2023 11:13:02 PM
Broker 4        Commodity       569             7         9/21/2023 11:13:02 PM
Broker 2        Commodity       575             8         9/21/2023 11:13:03 PM
Broker 4        Commodity       575             8         9/21/2023 11:13:03 PM
Broker 1        Retail          38              8         9/21/2023 11:13:03 PM
Broker 4        Retail          38              8         9/21/2023 11:13:03 PM
Broker 1        Technology      183             8         9/21/2023 11:13:03 PM
Broker 2        Technology      183             8         9/21/2023 11:13:03 PM
Broker 3        Technology      183             8         9/21/2023 11:13:03 PM
Broker 4        Technology      183             8         9/21/2023 11:13:03 PM
Broker 2        Banking         108             8         9/21/2023 11:13:03 PM
Broker 3        Banking         108             8         9/21/2023 11:13:03 PM
Broker 4        Banking         108             8         9/21/2023 11:13:03 PM
Broker 1        Retail          39              9         9/21/2023 11:13:03 PM
Broker 4        Retail          39              9         9/21/2023 11:13:03 PM
Broker 2        Banking         111             9         9/21/2023 11:13:03 PM
Broker 3        Banking         111             9         9/21/2023 11:13:03 PM
Broker 4        Banking         111             9         9/21/2023 11:13:03 PM
Broker 2        Commodity       592             9         9/21/2023 11:13:03 PM
Broker 4        Commodity       592             9         9/21/2023 11:13:03 PM
Broker 1        Technology      187             9         9/21/2023 11:13:03 PM
Broker 2        Technology      187             9         9/21/2023 11:13:03 PM
Broker 3        Technology      187             9         9/21/2023 11:13:03 PM
Broker 4        Technology      187             9         9/21/2023 11:13:03 PM
Broker 2        Commodity       596             10        9/21/2023 11:13:04 PM
Broker 4        Commodity       596             10        9/21/2023 11:13:04 PM
Broker 2        Banking         113             10        9/21/2023 11:13:04 PM
Broker 3        Banking         113             10        9/21/2023 11:13:04 PM
Broker 4        Banking         113             10        9/21/2023 11:13:04 PM
Broker 1        Retail          40              10        9/21/2023 11:13:04 PM
Broker 4        Retail          40              10        9/21/2023 11:13:04 PM
Broker 1        Technology      190             10        9/21/2023 11:13:04 PM
Broker 2        Technology      190             10        9/21/2023 11:13:04 PM
Broker 3        Technology      190             10        9/21/2023 11:13:04 PM
Broker 4        Technology      190             10        9/21/2023 11:13:04 PM
Broker 1        Retail          41              11        9/21/2023 11:13:04 PM
Broker 4        Retail          41              11        9/21/2023 11:13:04 PM
Broker 2        Banking         114             11        9/21/2023 11:13:04 PM
Broker 3        Banking         114             11        9/21/2023 11:13:04 PM
Broker 4        Banking         114             11        9/21/2023 11:13:04 PM
Broker 1        Technology      194             11        9/21/2023 11:13:04 PM
Broker 2        Technology      194             11        9/21/2023 11:13:04 PM
Broker 3        Technology      194             11        9/21/2023 11:13:04 PM
Broker 4        Technology      194             11        9/21/2023 11:13:04 PM
Broker 2        Commodity       610             11        9/21/2023 11:13:04 PM
Broker 4        Commodity       610             11        9/21/2023 11:13:04 PM
Broker 2        Commodity       628             12        9/21/2023 11:13:05 PM
Broker 4        Commodity       628             12        9/21/2023 11:13:05 PM
Broker 1        Technology      196             12        9/21/2023 11:13:05 PM
Broker 2        Technology      196             12        9/21/2023 11:13:05 PM
Broker 3        Technology      196             12        9/21/2023 11:13:05 PM
Broker 4        Technology      196             12        9/21/2023 11:13:05 PM
Broker 2        Banking         116             12        9/21/2023 11:13:05 PM
